"repo_name","release_tag","period","date","day_of_week","release_gap_days","avg_releases_per_period","release_count","cumulative_releases"
"stackflow","@stackflow/react-ui-core@1.3.2","day","2025-05-29","목요일",0,159,2,1
"stackflow","@stackflow/plugin-basic-ui@1.14.2","day","2025-05-29","목요일",0,159,2,2
"stackflow","@stackflow/react-ui-core@1.3.1","day","2025-05-15","목요일",-13,159,2,3
"stackflow","@stackflow/plugin-basic-ui@1.14.1","day","2025-05-15","목요일",0,159,2,4
"stackflow","@stackflow/react@1.5.2","day","2025-05-12","월요일",-3,159,1,5
"stackflow","@stackflow/react-ui-core@1.3.0","day","2025-04-09","수요일",-32,159,2,6
"stackflow","@stackflow/plugin-basic-ui@1.14.0","day","2025-04-09","수요일",0,159,2,7
"stackflow","@stackflow/react-ui-core@1.2.3","day","2025-03-27","목요일",-13,159,2,8
"stackflow","@stackflow/plugin-basic-ui@1.13.1","day","2025-03-27","목요일",0,159,2,9
"stackflow","@stackflow/react-ui-core@1.2.2","day","2025-03-14","금요일",-12,159,2,10
"stackflow","@stackflow/plugin-basic-ui@1.13.0","day","2025-03-14","금요일",0,159,2,11
"stackflow","@stackflow/react@1.5.1","day","2025-02-24","월요일",-17,159,1,12
"stackflow","@stackflow/react@1.5.0","day","2025-02-14","금요일",-10,159,3,13
"stackflow","@stackflow/plugin-basic-ui@1.12.0","day","2025-02-14","금요일",0,159,3,14
"stackflow","@stackflow/core@1.2.0","day","2025-02-14","금요일",0,159,3,15
"stackflow","@stackflow/react@1.4.2","day","2025-01-22","수요일",-22,159,5,16
"stackflow","@stackflow/plugin-history-sync@1.7.1","day","2025-01-22","수요일",0,159,5,17
"stackflow","@stackflow/link@1.6.1","day","2025-01-22","수요일",0,159,5,18
"stackflow","@stackflow/core@1.1.1","day","2025-01-22","수요일",0,159,5,19
"stackflow","@stackflow/config@1.2.1","day","2025-01-22","수요일",0,159,5,20
"stackflow","@stackflow/react-ui-core@1.2.1","day","2024-12-18","수요일",-34,159,4,21
"stackflow","@stackflow/react-ui-core@1.2.0","day","2024-12-18","수요일",0,159,4,22
"stackflow","@stackflow/plugin-basic-ui@1.11.1","day","2024-12-18","수요일",0,159,4,23
"stackflow","@stackflow/plugin-basic-ui@1.11.0","day","2024-12-18","수요일",0,159,4,24
"stackflow","@stackflow/plugin-basic-ui@1.10.1","day","2024-11-19","화요일",-28,159,1,25
"stackflow","@stackflow/link@1.6.0","day","2024-11-08","금요일",-11,159,1,26
"stackflow","@stackflow/react@1.4.1","day","2024-10-23","수요일",-15,159,1,27
"stackflow","@stackflow/react@1.4.0","day","2024-09-26","목요일",-26,159,5,28
"stackflow","@stackflow/plugin-preload@1.4.3","day","2024-09-26","목요일",0,159,5,29
"stackflow","@stackflow/plugin-history-sync@1.7.0","day","2024-09-26","목요일",0,159,5,30
"stackflow","@stackflow/link@1.5.0","day","2024-09-26","목요일",0,159,5,31
"stackflow","@stackflow/config@1.2.0","day","2024-09-26","목요일",0,159,5,32
"stackflow","@stackflow/plugin-basic-ui@1.10.0","day","2024-09-11","수요일",-14,159,1,33
"stackflow","@stackflow/react@1.3.2","day","2024-09-03","화요일",-8,159,10,34
"stackflow","@stackflow/react-ui-core@1.1.2","day","2024-09-03","화요일",0,159,10,35
"stackflow","@stackflow/plugin-renderer-web@1.1.13","day","2024-09-03","화요일",0,159,10,36
"stackflow","@stackflow/plugin-renderer-basic@1.1.13","day","2024-09-03","화요일",0,159,10,37
"stackflow","@stackflow/plugin-preload@1.4.2","day","2024-09-03","화요일",0,159,10,38
"stackflow","@stackflow/plugin-map-initial-activity@1.0.11","day","2024-09-03","화요일",0,159,10,39
"stackflow","@stackflow/plugin-google-analytics-4@1.1.15","day","2024-09-03","화요일",0,159,10,40
"stackflow","@stackflow/plugin-basic-ui@1.9.2","day","2024-09-03","화요일",0,159,10,41
"stackflow","@stackflow/link@1.4.5","day","2024-09-03","화요일",0,159,10,42
"stackflow","@stackflow/compat-await-push@1.1.13","day","2024-09-03","화요일",0,159,10,43
"stackflow","@stackflow/plugin-history-sync@1.6.3","day","2024-08-21","수요일",-12,159,1,44
"stackflow","@stackflow/react@1.3.1","day","2024-08-14","수요일",-7,159,15,45
"stackflow","@stackflow/react@1.3.0","day","2024-08-14","수요일",0,159,15,46
"stackflow","@stackflow/react-ui-core@1.1.1","day","2024-08-14","수요일",0,159,15,47
"stackflow","@stackflow/plugin-stack-depth-change@1.1.5","day","2024-08-14","수요일",0,159,15,48
"stackflow","@stackflow/plugin-renderer-web@1.1.12","day","2024-08-14","수요일",0,159,15,49
"stackflow","@stackflow/plugin-renderer-basic@1.1.12","day","2024-08-14","수요일",0,159,15,50
"stackflow","@stackflow/plugin-preload@1.4.1","day","2024-08-14","수요일",0,159,15,51
"stackflow","@stackflow/plugin-map-initial-activity@1.0.10","day","2024-08-14","수요일",0,159,15,52
"stackflow","@stackflow/plugin-history-sync@1.6.2","day","2024-08-14","수요일",0,159,15,53
"stackflow","@stackflow/plugin-google-analytics-4@1.1.14","day","2024-08-14","수요일",0,159,15,54
"stackflow","@stackflow/plugin-devtools@0.1.11","day","2024-08-14","수요일",0,159,15,55
"stackflow","@stackflow/plugin-basic-ui@1.9.1","day","2024-08-14","수요일",0,159,15,56
"stackflow","@stackflow/link@1.4.4","day","2024-08-14","수요일",0,159,15,57
"stackflow","@stackflow/core@1.1.0","day","2024-08-14","수요일",0,159,15,58
"stackflow","@stackflow/compat-await-push@1.1.12","day","2024-08-14","수요일",0,159,15,59
"stackflow","@stackflow/react@1.2.2","day","2024-08-08","목요일",-6,159,5,60
"stackflow","@stackflow/react-ui-core@1.1.0","day","2024-08-08","목요일",0,159,5,61
"stackflow","@stackflow/plugin-history-sync@1.6.1","day","2024-08-08","목요일",0,159,5,62
"stackflow","@stackflow/plugin-basic-ui@1.9.0","day","2024-08-08","목요일",0,159,5,63
"stackflow","@stackflow/core@1.0.14","day","2024-08-08","목요일",0,159,5,64
"stackflow","@stackflow/plugin-preload@1.4.0","day","2024-08-02","금요일",-6,159,2,65
"stackflow","@stackflow/plugin-basic-ui@1.8.4","day","2024-08-02","금요일",0,159,2,66
"stackflow","@stackflow/react@1.2.1","day","2024-07-31","수요일",-1,159,12,67
"stackflow","@stackflow/react@1.2.0","day","2024-07-31","수요일",0,159,12,68
"stackflow","@stackflow/plugin-renderer-web@1.1.11","day","2024-07-31","수요일",0,159,12,69
"stackflow","@stackflow/plugin-renderer-basic@1.1.11","day","2024-07-31","수요일",0,159,12,70
"stackflow","@stackflow/plugin-preload@1.3.3","day","2024-07-31","수요일",0,159,12,71
"stackflow","@stackflow/plugin-map-initial-activity@1.0.9","day","2024-07-31","수요일",0,159,12,72
"stackflow","@stackflow/plugin-history-sync@1.6.0","day","2024-07-31","수요일",0,159,12,73
"stackflow","@stackflow/plugin-google-analytics-4@1.1.13","day","2024-07-31","수요일",0,159,12,74
"stackflow","@stackflow/plugin-basic-ui@1.8.3","day","2024-07-31","수요일",0,159,12,75
"stackflow","@stackflow/link@1.4.3","day","2024-07-31","수요일",0,159,12,76
"stackflow","@stackflow/config@1.1.0","day","2024-07-31","수요일",0,159,12,77
"stackflow","@stackflow/compat-await-push@1.1.11","day","2024-07-31","수요일",0,159,12,78
"stackflow","@stackflow/react@1.1.11","day","2024-07-25","목요일",-6,159,14,79
"stackflow","@stackflow/plugin-stack-depth-change@1.1.4","day","2024-07-25","목요일",0,159,14,80
"stackflow","@stackflow/plugin-renderer-web@1.1.10","day","2024-07-25","목요일",0,159,14,81
"stackflow","@stackflow/plugin-renderer-basic@1.1.10","day","2024-07-25","목요일",0,159,14,82
"stackflow","@stackflow/plugin-preload@1.3.2","day","2024-07-25","목요일",0,159,14,83
"stackflow","@stackflow/plugin-map-initial-activity@1.0.8","day","2024-07-25","목요일",0,159,14,84
"stackflow","@stackflow/plugin-history-sync@1.5.4","day","2024-07-25","목요일",0,159,14,85
"stackflow","@stackflow/plugin-google-analytics-4@1.1.12","day","2024-07-25","목요일",0,159,14,86
"stackflow","@stackflow/plugin-devtools@0.1.10","day","2024-07-25","목요일",0,159,14,87
"stackflow","@stackflow/plugin-basic-ui@1.8.2","day","2024-07-25","목요일",0,159,14,88
"stackflow","@stackflow/link@1.4.2","day","2024-07-25","목요일",0,159,14,89
"stackflow","@stackflow/esbuild-config@1.0.3","day","2024-07-25","목요일",0,159,14,90
"stackflow","@stackflow/core@1.0.13","day","2024-07-25","목요일",0,159,14,91
"stackflow","@stackflow/compat-await-push@1.1.10","day","2024-07-25","목요일",0,159,14,92
"stackflow","@stackflow/plugin-basic-ui@1.8.1","day","2024-07-24","수요일",-1,159,1,93
"stackflow","@stackflow/plugin-history-sync@1.5.3","day","2024-07-23","화요일",-1,159,1,94
"stackflow","@stackflow/react@1.1.10","day","2024-07-22","월요일",0,159,14,95
"stackflow","@stackflow/plugin-stack-depth-change@1.1.3","day","2024-07-22","월요일",0,159,14,96
"stackflow","@stackflow/plugin-renderer-web@1.1.9","day","2024-07-22","월요일",0,159,14,97
"stackflow","@stackflow/plugin-renderer-basic@1.1.9","day","2024-07-22","월요일",0,159,14,98
"stackflow","@stackflow/plugin-preload@1.3.1","day","2024-07-22","월요일",0,159,14,99
